H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
TIL11_FC61694AAXX.bam	TIL16_FC6153UAAXX.bam	TIL07_FC6162DAAXX.bam	332	550	-0.2471655	-0.2471655	0.04157356	-5.945258	
TIL15_FC6144GAAXX.bam	TIL16_FC6153UAAXX.bam	TIL07_FC6162DAAXX.bam	504	601	-0.08778281	-0.08778281	0.03872347	-2.266915	
TIL01_435BCAAXX.bam	TIL17_FC6153UAAXX.bam	TIL07_FC6162DAAXX.bam	444	389	0.06602641	0.06602641	0.0419817	1.572743	
TIL03.bam	TIL17_FC6153UAAXX.bam	TIL07_FC6162DAAXX.bam	568	548	0.01792115	0.01792115	0.03914984	0.4577579	
TIL04-TIP454.bam	TIL17_FC6153UAAXX.bam	TIL07_FC6162DAAXX.bam	421	428	-0.008244994	-0.008244994	0.04064776	-0.2028401	
TIL09_FC61694AAXX.bam	TIL17_FC6153UAAXX.bam	TIL07_FC6162DAAXX.bam	556	568	-0.01067616	-0.01067616	0.03863404	-0.2763407	
TIL11_FC61694AAXX.bam	TIL17_FC6153UAAXX.bam	TIL07_FC6162DAAXX.bam	445	473	-0.03050109	-0.03050109	0.04194651	-0.7271424	
TIL15_FC6144GAAXX.bam	TIL17_FC6153UAAXX.bam	TIL07_FC6162DAAXX.bam	651	466	0.1656222	0.1656222	0.03852914	4.298621	
TIL16_FC6153UAAXX.bam	TIL17_FC6153UAAXX.bam	TIL07_FC6162DAAXX.bam	407	253	0.2333333	0.2333333	0.04669372	4.997103	
TIL01_435BCAAXX.bam	TIL03.bam	TIL09_FC61694AAXX.bam	1106	748	0.193096	0.193096	0.03111286	6.206308	
TIL01_435BCAAXX.bam	TIL04-TIP454.bam	TIL09_FC61694AAXX.bam	849	688	0.1047495	0.1047495	0.0342091	3.062037	
TIL03.bam	TIL04-TIP454.bam	TIL09_FC61694AAXX.bam	934	1184	-0.1180359	-0.1180359	0.03003913	-3.929405	
TIL01_435BCAAXX.bam	TIL07_FC6162DAAXX.bam	TIL09_FC61694AAXX.bam	977	634	0.2129112	0.2129112	0.03226361	6.599114	
TIL03.bam	TIL07_FC6162DAAXX.bam	TIL09_FC61694AAXX.bam	966	1002	-0.01829268	-0.01829268	0.031187	-0.5865484	
TIL04-TIP454.bam	TIL07_FC6162DAAXX.bam	TIL09_FC61694AAXX.bam	1073	866	0.1067561	0.1067561	0.03164693	3.373346	
TIL01_435BCAAXX.bam	TIL11_FC61694AAXX.bam	TIL09_FC61694AAXX.bam	610	552	0.04991394	0.04991394	0.03653682	1.366127	
TIL03.bam	TIL11_FC61694AAXX.bam	TIL09_FC61694AAXX.bam	696	936	-0.1470588	-0.1470588	0.03294196	-4.46418	
TIL04-TIP454.bam	TIL11_FC61694AAXX.bam	TIL09_FC61694AAXX.bam	721	814	-0.06058632	-0.06058632	0.03481558	-1.740207	
TIL07_FC6162DAAXX.bam	TIL11_FC61694AAXX.bam	TIL09_FC61694AAXX.bam	615	899	-0.1875826	-0.1875826	0.03283354	-5.713139	
TIL01_435BCAAXX.bam	TIL15_FC6144GAAXX.bam	TIL09_FC61694AAXX.bam	959	735	0.1322314	0.1322314	0.03258044	4.058613	
TIL03.bam	TIL15_FC6144GAAXX.bam	TIL09_FC61694AAXX.bam	1226	1405	-0.06803497	-0.06803497	0.02959231	-2.299076	
TIL04-TIP454.bam	TIL15_FC6144GAAXX.bam	TIL09_FC61694AAXX.bam	1045	1096	-0.02382064	-0.02382064	0.03231386	-0.737165	
TIL07_FC6162DAAXX.bam	TIL15_FC6144GAAXX.bam	TIL09_FC61694AAXX.bam	1047	1222	-0.07712649	-0.07712649	0.03044464	-2.533336	
TIL11_FC61694AAXX.bam	TIL15_FC6144GAAXX.bam	TIL09_FC61694AAXX.bam	989	849	0.07616975	0.07616975	0.03202579	2.378388	
TIL01_435BCAAXX.bam	TIL16_FC6153UAAXX.bam	TIL09_FC61694AAXX.bam	465	436	0.03218646	0.03218646	0.04095707	0.7858585	
TIL03.bam	TIL16_FC6153UAAXX.bam	TIL09_FC61694AAXX.bam	462	661	-0.1772039	-0.1772039	0.03837914	-4.617193	
TIL04-TIP454.bam	TIL16_FC6153UAAXX.bam	TIL09_FC61694AAXX.bam	469	553	-0.08219178	-0.08219178	0.03932477	-2.090077	
TIL07_FC6162DAAXX.bam	TIL16_FC6153UAAXX.bam	TIL09_FC61694AAXX.bam	478	678	-0.1730104	-0.1730104	0.03732068	-4.635778	
TIL11_FC61694AAXX.bam	TIL16_FC6153UAAXX.bam	TIL09_FC61694AAXX.bam	369	415	-0.05867347	-0.05867347	0.0435548	-1.347118	
TIL15_FC6144GAAXX.bam	TIL16_FC6153UAAXX.bam	TIL09_FC61694AAXX.bam	491	628	-0.1224307	-0.1224307	0.03657793	-3.34712	
TIL01_435BCAAXX.bam	TIL17_FC6153UAAXX.bam	TIL09_FC61694AAXX.bam	469	391	0.09069767	0.09069767	0.0420818	2.155271	
TIL03.bam	TIL17_FC6153UAAXX.bam	TIL09_FC61694AAXX.bam	514	628	-0.09982487	-0.09982487	0.03829941	-2.606434	
TIL04-TIP454.bam	TIL17_FC6153UAAXX.bam	TIL09_FC61694AAXX.bam	455	473	-0.01939655	-0.01939655	0.04372872	-0.4435655	
TIL07_FC6162DAAXX.bam	TIL17_FC6153UAAXX.bam	TIL09_FC61694AAXX.bam	483	568	-0.08087536	-0.08087536	0.03905324	-2.0709	
TIL11_FC61694AAXX.bam	TIL17_FC6153UAAXX.bam	TIL09_FC61694AAXX.bam	456	409	0.05433526	0.05433526	0.04316501	1.25878	
TIL15_FC6144GAAXX.bam	TIL17_FC6153UAAXX.bam	TIL09_FC61694AAXX.bam	588	568	0.01730104	0.01730104	0.03845841	0.4498635	
TIL16_FC6153UAAXX.bam	TIL17_FC6153UAAXX.bam	TIL09_FC61694AAXX.bam	373	275	0.1512346	0.1512346	0.04820881	3.137073	
