chr	XPCLR_DOM	s_DOM	EXCL	upeak_DOM	XPCLR_IMP	s_IMP	upeak_IMP	winstart	winend	genicbp	TEbp	seqbp	fst_teo_LR	fst_teo_mz	fst_LR_mz	fst_mex_mz	fst_mex_teo	fst_mex_LR	Steo	Singletonsteo	DerSingletonsteo	ThetaWteo	ThetaPiteo	ThetaHteo	TajDteo	Rminteo	SLR	SingletonsLR	DerSingletonsLR	ThetaWLR	ThetaPiLR	ThetaHLR	TajDLR	RminLR	SMZ	SingletonsMZ	DerSingletonsMZ	ThetaWMZ	ThetaPiMZ	ThetaHMZ	TajDMZ	RminMZ	S_rhoteo	rho_teo	S_rhoLR	rho_LR	S_rhoMZ	rho_MZ	div_sites	divergence	win_num	teo_LR_shared	teo_LR_fixed	teo_LR_private1	teo_LR_private2	teo_mz_shared	teo_mz_fixed	teo_mz_private1	teo_mz_private2	LR_mz_shared	LR_mz_fixed	LR_mz_private1	LR_mz_private2	mex_mz_shared	mex_mz_fixed	mex_mz_private1	mex_mz_private2	mex_teo_shared	mex_teo_fixed	mex_teo_private1	mex_teo_private2	mex_LR_shared	mex_LR_fixed	mex_LR_private1	mex_LR_private2
1	6.38756	0.001	0	NA	0.279301	6e-04	NA	4450001	4460000	0	9739	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	17.600914	0.001	0	NA	10.789109	1e-04	NA	4730001	4740000	5294	2638	8156	0.0704977	0.051212	0.00642728	0.012765	-0.0112764	0.0248116	496	14	4	0.01644924	0.017795978	0.004465436	0.339698	114	511	17	6	0.014664296	0.016528691	0.004974191	0.481457	102	514	22	10	0.013737249	0.01725613	0.004787003	0.944975	127	151	0.007458	271	0.002172	367	0.001064	3859	0.0290799	440	405	0	91	106	386	0	110	128	464	0	47	50	135	3	37	379	165	3	7	331	134	4	38	377
1	6.093863	0.003	0	NA	4.82045	0.003	NA	5180001	5190000	0	9879	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0.765657	6e-04	0	NA	0.464097	2e-04	NA	5840001	5850000	0	10000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1.592799	0.003	0	NA	3.76752	0.003	NA	5870001	5880000	0	10000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	15.482725	0.003	0	NA	1.45442	2e-04	NA	6240001	6250000	0	10000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	14.568636	0.003	0	NA	0.204593	0.001	NA	6250001	6260000	0	8936	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	14.096464	0.003	0	NA	0	1e-05	NA	6320001	6330000	3866	3830	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2.621047	2e-04	0	NA	5.022453	1e-04	NA	7270001	7280000	1650	2426	9261	-0.00944447	-0.00369238	0.00286727	-0.00680376	-0.0282687	-0.0201955	467	15	0	0.013426088	0.0158525	0.001424425	0.737856	82	520	8	0	0.013086168	0.017306014	0.001296016	1.21609	112	528	11	4	0.012171364	0.017527157	0.001260102	1.59011	159	222	0.000627	350	0.000516	376	0.000381	1631	0.0308698	658	437	0	30	83	434	0	33	94	489	0	31	39	145	2	7	383	139	1	13	328	144	2	8	376
1	5.130505	5e-05	0	NA	11.968411	4e-04	NA	7300001	7310000	5368	4739	8343	-0.00212084	0.0281418	0.0330361	-0.00352653	-0.0266908	-0.0209531	491	32	4	0.015953134	0.015527388	0.002865612	-0.110943	80	593	8	0	0.016695553	0.017453194	0.002707611	0.172598	102	569	30	4	0.014807024	0.015251828	0.003489584	0.110446	141	105	0.001667	288	0.001772	280	0.000563	2478	0.0249033	661	445	0	46	148	407	0	84	162	521	0	72	48	99	0	16	470	105	0	10	386	97	0	18	496
